NDomain	NNode	Time(ms)
1	5	0.150192
1	8	0.161641
2	8	0.322914
1	9	0.132061
1	1	0.153951
1	12	0.235432
1	14	0.193582
1	14	0.231032
1	17	0.196602
1	16	0.177492
1	15	0.167151
1	12	0.234302
2	9	0.355074
1	11	0.159682
1	9	0.169211
1	7	0.162312
1	8	0.155481
2	10	0.308993
1	15	0.160132
1	14	0.168981
1	10	0.168392
1	17	0.208992
1	17	0.202742
1	16	0.196241
1	15	0.196912
1	14	0.178812
1	15	0.197432
1	13	0.187552
1	15	0.163362
1	16	0.158221
1	9	0.155372
1	10	0.127991
1	10	0.162792
1	15	0.127171
1	16	0.127861
1	10	0.149232
1	14	0.124241
1	12	0.201792
1	9	0.129811
1	10	0.126631
1	13	0.122442
1	8	0.163361
1	9	0.125301
1	10	0.141142
1	14	0.163901
1	15	0.145262
1	12	0.146921
1	13	0.177352
1	11	0.132031
1	14	0.165872
1	14	0.158431
1	15	0.159602
1	14	0.153641
1	11	0.144271
1	6	0.142002
1	6	0.141941
1	11	0.155551
1	2	0.159892
1	5	0.146041
1	16	0.162052
1	15	0.158021
1	13	0.155602
1	8	0.155171
1	16	0.160922
1	17	0.166601
1	13	0.155162
1	12	0.157901
1	6	0.232223
1	11	0.199692
1	7	0.187331
1	11	0.200252
1	11	0.197112
1	8	0.169812
1	7	0.222632
1	10	0.208072
1	10	0.211892
1	17	0.213172
1	16	0.214782
1	10	0.173632
1	15	0.207392
1	15	0.209082
1	15	0.206652
1	3	0.204742
1	7	0.162951
1	6	0.196982
1	9	0.170532
1	10	0.172651
1	7	0.198952
1	6	0.170572
1	10	0.219322
1	19	0.204832
1	13	0.205802
1	10	0.163732
1	10	0.161011
1	7	0.162002
2	5	0.368503
1	5	0.164392
1	3	0.193612
1	5	0.180531
1	5	0.160372
1	10	0.184792
1	5	0.155841
1	7	0.197342
1	12	0.200142
1	13	0.199702
1	14	0.202952
1	15	0.197021
1	9	0.147071
1	10	0.120541
1	14	0.163992
1	15	0.159831
1	27	0.725087
1	23	0.495655
1	28	0.670477
1	11	0.142601
1	5	0.136351
1	7	0.135232
1	5	0.133341
1	16	0.153681
1	15	0.167222
1	12	0.154571
1	1	0.122422
1	22	0.637595
1	9	0.197772
