NReq	NNode	NDomain	Time(ms)
1197	10	1	10.6113
1199	10	1	10.7811
1201	10	1	10.7805
1203	10	1	10.7743
1205	10	1	10.9148
1207	10	1	10.8071
1209	10	1	10.8863
1211	10	1	10.9973
1213	10	1	10.906
1215	10	1	11.0417
1217	10	1	11.1383
1219	10	1	11.0308
1221	10	1	11.1088
1223	10	1	11.2622
1225	10	1	11.1439
1227	10	1	11.2134
1229	10	1	11.33
1231	10	1	11.3865
1233	10	1	11.3099
1235	10	1	11.4699
1237	10	1	11.5732
1239	10	1	11.3656
1241	10	1	11.5547
1243	10	1	11.6604
1245	10	1	11.4754
1247	10	1	11.6342
1249	10	1	11.7492
1251	10	1	11.7044
1253	10	1	11.66
1255	10	1	11.8236
1257	10	1	11.719
1259	10	1	11.8228
1261	10	1	12.0148
1263	10	1	12.0522
1265	10	1	11.8391
1267	10	1	12.3679
1269	10	1	12.2545
1271	10	1	12.2004
1273	10	1	12.0355
1275	10	1	12.1305
1277	10	1	12.2309
1279	10	1	12.1715
1281	10	1	12.227
1283	10	1	12.2639
1285	10	1	12.3817
1287	10	1	12.2973
1289	10	1	12.4322
1291	10	1	12.5159
1293	10	1	12.4841
1295	10	1	12.4536
1297	10	1	12.5158
1299	10	1	13.351
1301	10	1	12.7979
1303	10	1	12.7939
1305	10	1	12.6597
1307	10	1	12.7241
1309	10	1	12.9192
1311	10	1	12.9824
1313	10	1	12.8079
1315	10	1	12.8415
1317	10	1	12.8314
1319	10	1	12.91
1321	10	1	13.5504
1323	10	1	13.4766
1325	10	1	13.6215
1327	10	1	13.5964
1329	10	1	13.8702
1331	10	1	13.8071
1333	10	1	13.7853
1335	10	1	13.7517
1337	10	1	13.7676
1339	10	1	14.0968
1341	10	1	13.9906
1343	10	1	14.124
1345	10	1	14.1363
1347	10	1	14.0453
1349	10	1	14.0555
1351	10	1	14.1098
1353	10	1	14.1578
1355	10	1	14.2129
1357	10	1	14.2817
1359	10	1	14.2983
1361	10	1	14.2258
1363	10	1	14.3295
1365	10	1	14.4065
1367	10	1	14.432
1369	10	1	14.561
1371	10	1	14.5253
1373	10	1	14.7374
1375	10	1	14.7557
1377	10	1	14.6938
1379	10	1	14.6475
1381	10	1	14.6949
1383	10	1	14.7364
1385	10	1	14.8395
1387	10	1	14.9384
1389	10	1	14.8908
1391	10	1	14.9241
1393	10	1	15.0145
1395	10	1	16.2997
1397	10	1	14.6113
1399	10	1	14.5938
1401	10	1	14.6739
1403	10	1	14.637
1405	10	1	14.704
1407	10	1	14.7638
1409	10	1	14.9446
1411	10	1	14.9866
1413	10	1	14.94
1415	10	1	14.948
1417	10	1	14.8858
1419	10	1	14.9535
1421	10	1	14.9881
1423	10	1	15.0842
1425	10	1	15.1815
1427	10	1	15.2161
1429	10	1	15.2978
1431	10	1	15.3295
1433	10	1	15.4882
1435	10	1	15.9726
1437	10	1	15.5776
1439	10	1	15.615
1441	10	1	15.6667
1443	10	1	15.7286
1445	10	1	15.7622
1447	10	1	15.8011
1449	10	1	15.8706
1451	10	1	15.902
1453	10	1	15.8382
1455	10	1	15.8611
1457	10	1	15.899
1459	10	1	16.012
1461	10	1	15.9479
1463	10	1	16.071
1465	10	1	16.1173
1467	10	1	16.1056
1469	10	1	16.3563
1471	10	1	16.2647
1473	10	1	16.4457
1475	10	1	16.4936
1477	10	1	16.4693
1479	10	1	16.4687
1481	10	1	16.5442
1483	10	1	16.5061
1485	10	1	16.5326
1487	10	1	16.6105
1489	10	1	16.6338
1491	10	1	16.6999
1493	10	1	16.7294
1495	10	1	16.7718
1497	10	1	16.8559
1499	10	1	16.8644
1501	10	1	16.975
1503	10	1	16.9801
1505	10	1	16.9675
1507	10	1	16.9784
1509	10	1	17.0289
1511	10	1	17.0158
1513	10	1	17.1536
1515	10	1	17.2054
1517	10	1	17.3401
1519	10	1	17.344
1521	10	1	17.34
1523	10	1	17.3923
1525	10	1	17.4521
1527	10	1	17.5105
1529	10	1	17.5215
1531	10	1	17.9533
1533	10	1	19.0984
1535	10	1	17.718
1537	10	1	17.6843
1539	10	1	17.7695
1541	10	1	17.7849
1543	10	1	17.7452
1545	10	1	17.8621
1547	10	1	17.9549
1549	10	1	17.983
1551	10	1	18.0419
1553	10	1	18.0365
1555	10	1	18.112
1557	10	1	18.1518
1559	10	1	18.1945
1561	10	1	18.2595
1563	10	1	18.2862
1565	10	1	18.3104
1567	10	1	18.4632
1569	10	1	18.4372
1571	10	1	18.5392
1573	10	1	18.5991
1575	10	1	18.6173
1577	10	1	18.7206
1579	10	1	18.7514
1581	10	1	18.7226
1583	10	1	18.8439
1585	10	1	18.8385
1587	10	1	19.0063
1589	10	1	19.2078
1591	10	1	19.0378
1593	10	1	19.019
1595	10	1	19.1145
1597	10	1	19.1968
1599	10	1	19.1297
1601	10	1	19.2489
1603	10	1	19.2951
1605	10	1	19.3023
1607	10	1	19.3884
1609	10	1	19.5017
1611	10	1	19.464
1613	10	1	19.5579
1615	10	1	19.6352
1617	10	1	19.6172
1619	10	1	19.7258
1621	10	1	22.3059
1623	10	1	23.9352
1625	10	1	20.6823
1627	10	1	20.067
1629	10	1	20.0532
1631	10	1	20.1217
1633	10	1	20.1606
1635	10	1	20.2314
1637	10	1	20.4641
1639	10	1	20.9214
1641	10	1	20.5433
1643	10	1	20.5501
1645	10	1	20.504
1647	10	1	20.4955
1649	10	1	20.5082
1651	10	1	20.5441
1653	10	1	20.735
1655	10	1	20.4942
1657	10	1	20.5653
1659	10	1	20.6901
1661	10	1	20.855
1663	10	1	20.8561
1665	10	1	20.8559
1667	10	1	20.9711
1669	10	1	21.0787
1671	10	1	21.0816
1673	10	1	21.0638
1675	10	1	21.2296
1677	10	1	21.3756
1679	10	1	21.2895
1681	10	1	21.3627
1683	10	1	21.4261
1685	10	1	21.571
1687	10	1	21.6331
1689	10	1	21.6986
1691	10	1	21.6417
1693	10	1	21.5903
1695	10	1	21.6918
1697	10	1	21.7714
1699	10	1	21.7616
1701	10	1	21.8789
1703	10	1	21.9424
1705	10	1	21.9171
1707	10	1	21.9784
1709	10	1	22.0991
1711	10	1	22.1313
1713	10	1	22.1429
1715	10	1	22.2447
1717	10	1	22.2774
1719	10	1	22.2733
1721	10	1	22.4027
1723	10	1	22.4334
1725	10	1	22.4018
1727	10	1	22.5695
1729	10	1	22.5361
1731	10	1	22.7762
1733	10	1	22.9947
1735	10	1	22.8388
1737	10	1	22.8552
1739	10	1	22.8126
1741	10	1	22.8843
1743	10	1	23.0458
1745	10	1	23.0024
1747	10	1	23.1289
1749	10	1	23.1371
1751	10	1	23.1889
1753	10	1	23.1787
1755	10	1	23.6562
1757	10	1	23.767
1759	10	1	23.7383
1761	10	1	23.8805
1763	10	1	23.8259
1765	10	1	24.493
1767	10	1	24.0553
1769	10	1	24.1873
1771	10	1	24.2072
1773	10	1	24.2732
1775	10	1	24.828
1777	10	1	24.3637
1779	10	1	24.3776
1781	10	1	24.3165
1783	10	1	24.487
1785	10	1	24.4043
1787	10	1	24.4697
1789	10	1	24.5261
1791	10	1	24.5955
1793	10	1	24.6235
1795	10	1	24.7257
1797	10	1	34.6401
1799	10	1	24.8927
1801	10	1	24.8217
1803	10	1	24.8915
1805	10	1	25.0927
1807	10	1	25.1751
1809	10	1	25.0878
1811	10	1	25.3004
1813	10	1	25.3751
1815	10	1	25.9417
1817	10	1	25.3292
1819	10	1	25.4355
1821	10	1	25.3873
1823	10	1	25.4878
1825	10	1	25.5164
1827	10	1	25.5876
1829	10	1	25.8271
1831	10	1	25.6793
1833	10	1	25.7634
1835	10	1	25.8078
1837	10	1	26.344
1839	10	1	26.0031
1841	10	1	26.0151
1843	10	1	26.0652
1845	10	1	26.1273
1847	10	1	26.1584
1849	10	1	26.1597
1851	10	1	26.6533
1853	10	1	26.4273
1855	10	1	26.7786
1857	10	1	26.499
1859	10	1	26.4536
1861	10	1	26.6859
1863	10	1	26.5962
1865	10	1	26.6375
1867	10	1	26.7988
1869	10	1	26.7077
1871	10	1	26.8515
1873	10	1	26.7744
1875	10	1	26.8776
1877	10	1	27.1333
1879	10	1	26.9674
1881	10	1	27.0383
1883	10	1	27.1501
1885	10	1	27.0956
1887	10	1	27.1996
1889	10	1	27.0108
1891	10	1	27.0474
1893	10	1	27.1407
1895	10	1	27.1255
1897	10	1	27.1756
1899	10	1	27.1969
1901	10	1	27.2487
1903	10	1	27.3079
1905	10	1	27.3567
1907	10	1	27.4086
1909	10	1	27.499
1911	10	1	27.682
1913	10	1	27.6444
1915	10	1	27.7305
1917	10	1	27.8793
1919	10	1	27.8307
1921	10	1	27.9164
1923	10	1	27.9418
1925	10	1	28.2039
1927	10	1	28.0991
1929	10	1	28.0502
1931	10	1	28.2171
1933	10	1	28.1748
1935	10	1	28.1741
1937	10	1	28.2412
1939	10	1	28.3242
1941	10	1	28.4073
1943	10	1	28.4286
1945	10	1	28.4967
1947	10	1	28.5416
1949	10	1	28.7162
1951	10	1	28.7264
1953	10	1	28.6855
1955	10	1	28.8546
1957	10	1	28.8578
1959	10	1	29.071
1961	10	1	29.015
1963	10	1	29.0398
1965	10	1	29.0623
1967	10	1	29.2496
1969	10	1	29.2794
1971	10	1	29.3478
1973	10	1	29.4572
1975	10	1	29.4177
1977	10	1	29.5338
1979	10	1	29.5777
1981	10	1	29.5995
1983	10	1	29.6898
1985	10	1	29.8205
1987	10	1	29.9298
1989	10	1	29.9875
