N	Time(ms)
209	0.02086
209	0.016281
209	0.01536
210	0.02203
210	0.03573
210	0.01934
210	0.01621
211	0.02366
211	0.02459
211	0.01802
211	0.017071
212	0.02269
212	0.03453
212	0.02299
212	0.02177
213	0.03125
213	0.03377
213	0.02495
213	0.023921
214	0.02993
214	0.02885
214	0.0252
214	0.02493
215	0.03143
215	0.03359
215	0.025161
215	0.02413
216	0.03176
216	0.03388
216	0.02702
216	0.03124
217	0.04329
217	0.02798
217	0.02039
217	0.019851
218	0.02459
218	0.02426
218	0.02032
218	0.02025
219	0.02402
219	0.02374
219	0.02067
219	0.02366
220	0.024681
220	0.02652
220	0.02033
220	0.02056
221	0.02527
221	0.02609
221	0.02039
221	0.02035
222	0.03126
222	0.034321
222	0.02935
222	0.02959
223	0.03839
223	0.03139
223	0.02246
223	0.02167
224	0.02683
224	0.024821
224	0.02286
224	0.02475
225	0.02702
225	0.02426
225	0.02293
225	0.0239
226	0.0269
226	0.024361
226	0.02302
226	0.023
227	0.0389
227	0.0267
227	0.02414
227	0.02465
228	0.027061
228	0.02474
228	0.02362
228	0.02345
229	0.02687
229	0.02452
229	0.02352
229	0.02374
230	0.02732
230	0.026931
230	0.02348
230	0.02325
231	0.02705
231	0.02518
231	0.02363
231	0.02389
232	0.02705
232	0.024891
232	0.02422
232	0.02382
233	0.02664
233	0.02595
233	0.02379
233	0.02358
234	0.02689
234	0.0253
234	0.030941
234	0.03179
235	0.07104
235	0.05463
235	0.042631
235	0.04296
236	0.05021
236	0.05066
236	0.041811
236	0.04109
237	0.04935
237	0.0545
237	0.03996
237	0.04446
238	0.05134
238	0.05452
238	0.042711
238	0.04369
239	0.05094
239	0.04752
239	0.04499
239	0.04795
240	0.05393
240	0.05028
240	0.045191
240	0.04547
241	0.05067
241	0.05019
241	0.045031
241	0.04642
242	0.05041
242	0.047
242	0.044521
242	0.0477
243	0.05072
243	0.05387
243	0.044841
243	0.04576
244	0.075561
244	0.06392
244	0.04405
244	0.04328
245	0.054311
245	0.06292
245	0.04669
245	0.04637
246	0.055721
246	0.05664
246	0.04619
246	0.04564
247	0.060281
247	0.058
247	0.04678
247	0.0481
248	0.056211
248	0.05578
248	0.04824
248	0.04858
249	0.054631
249	0.05381
249	0.05009
249	0.05008
250	0.056241
250	0.05563
250	0.04899
250	0.05144
251	0.056091
251	0.05539
251	0.04926
251	0.05002
252	0.055621
252	0.06379
252	0.04829
252	0.04788
253	0.056941
253	0.06395
253	0.04824
253	0.0487
254	0.057831
254	0.05809
254	0.05112
254	0.05311
255	0.071941
255	0.06422
255	0.05134
255	0.05358
256	0.060021
256	0.06766
256	0.04913
256	0.049031
257	0.0176
257	0.01276
257	0.01043
257	0.0092
258	0.01369
258	0.0136
258	0.010471
258	0.0098
259	0.01196
259	0.01137
259	0.00964
259	0.00927
260	0.01142
260	0.01103
