NReq	NNode	NDomain	Time(ms)
20	100	481	1.92121
20	100	486	1.95545
20	100	491	1.9432
20	100	496	1.90876
20	100	501	1.98323
20	100	506	2.04964
20	100	511	2.02263
20	100	516	2.28532
20	100	521	2.14661
20	100	526	2.19958
20	100	531	2.17412
20	100	536	2.18818
20	100	541	2.22364
20	100	546	2.22574
20	100	551	2.2778
20	100	556	2.33338
20	100	561	2.35552
20	100	566	2.32441
20	100	571	2.43679
20	100	576	2.40939
20	100	581	2.41326
20	100	586	2.42576
20	100	591	2.43228
20	100	596	2.41364
20	100	601	2.44178
20	100	606	2.46221
20	100	611	2.47526
20	100	616	2.50762
20	100	621	2.54396
20	100	626	2.63409
20	100	631	2.61816
20	100	636	2.53015
20	100	641	2.613
20	100	646	2.68159
20	100	651	2.6395
20	100	656	2.59116
20	100	661	2.65932
20	100	666	2.73105
20	100	671	2.73107
20	100	676	2.83493
20	100	681	2.65896
20	100	686	2.76864
20	100	691	2.89064
20	100	696	2.80551
20	100	701	2.76588
20	100	706	2.88989
20	100	711	2.87949
20	100	716	2.95748
20	100	721	2.9145
20	100	726	2.85932
20	100	731	2.95547
20	100	736	2.96423
20	100	741	2.96908
20	100	746	3.03481
20	100	751	3.04508
20	100	756	3.04042
20	100	761	3.04357
20	100	766	3.05609
20	100	771	3.12909
20	100	776	3.15616
20	100	781	3.17714
20	100	786	3.13569
20	100	791	3.15113
20	100	796	3.25258
20	100	801	3.17487
20	100	806	3.1855
20	100	811	3.21023
20	100	816	3.30106
20	100	821	3.32278
20	100	826	3.34095
20	100	831	3.23762
20	100	836	3.35088
20	100	841	3.40153
20	100	846	3.35788
20	100	851	3.40556
20	100	856	3.43031
20	100	861	3.39576
20	100	866	3.44865
20	100	871	3.47519
20	100	876	3.53454
20	100	881	3.45303
20	100	886	3.67455
20	100	891	3.49821
20	100	896	3.59166
20	100	901	3.61628
20	100	906	3.5657
20	100	911	3.60824
20	100	916	3.77479
20	100	921	3.62732
20	100	926	3.65158
20	100	931	3.75543
20	100	936	3.79586
20	100	941	3.71603
20	100	946	3.66677
20	100	951	3.83849
20	100	956	3.73392
20	100	961	3.8542
20	100	966	3.80658
20	100	971	3.94796
20	100	976	3.8349
20	100	981	3.9003
20	100	986	3.87295
20	100	991	3.85089
20	100	996	4.04233
20	100	1001	3.93061
20	100	1006	4.0014
20	100	1011	3.93157
20	100	1016	4.01345
20	100	1021	4.02475
20	100	1026	4.4256
20	100	1031	4.25511
20	100	1036	4.46124
20	100	1041	4.412
20	100	1046	4.35394
20	100	1051	4.34884
20	100	1056	4.3924
20	100	1061	4.40289
20	100	1066	4.38426
20	100	1071	4.57689
20	100	1076	4.51501
20	100	1081	4.99228
20	100	1086	4.76079
20	100	1091	4.57846
20	100	1096	4.71552
20	100	1101	4.70167
20	100	1106	4.85571
20	100	1111	4.86787
20	100	1116	4.69591
20	100	1121	4.6219
20	100	1126	4.62093
20	100	1131	5.0138
20	100	1136	4.84452
20	100	1141	4.7862
20	100	1146	4.81394
20	100	1151	4.77793
20	100	1156	4.82513
20	100	1161	4.89159
20	100	1166	4.91082
20	100	1171	4.88771
20	100	1176	4.97701
20	100	1181	4.88234
20	100	1186	4.96035
20	100	1191	5.07146
20	100	1196	4.90137
20	100	1201	4.8536
20	100	1206	5.03493
20	100	1211	5.10729
20	100	1216	5.06658
20	100	1221	5.13456
20	100	1226	5.1044
20	100	1231	5.24261
20	100	1236	5.21008
20	100	1241	5.1633
20	100	1246	5.19607
20	100	1251	5.1083
20	100	1256	5.08509
20	100	1261	5.20964
20	100	1266	5.22641
20	100	1271	5.24389
20	100	1276	5.33525
20	100	1281	5.05375
20	100	1286	5.19729
20	100	1291	5.28891
20	100	1296	5.34
20	100	1301	5.38429
20	100	1306	5.46688
20	100	1311	5.35278
20	100	1316	5.58938
20	100	1321	5.49683
20	100	1326	5.47238
20	100	1331	5.56197
20	100	1336	5.59171
20	100	1341	5.73709
20	100	1346	5.55819
20	100	1351	5.49923
20	100	1356	5.72861
20	100	1361	5.56233
20	100	1366	5.60956
20	100	1371	5.6804
20	100	1376	5.637
20	100	1381	5.65081
20	100	1386	5.84683
20	100	1391	5.85627
20	100	1396	5.66836
20	100	1401	5.79948
20	100	1406	5.89047
20	100	1411	5.76568
20	100	1416	5.83324
20	100	1421	5.70492
20	100	1426	5.92588
20	100	1431	5.86002
20	100	1436	6.02083
20	100	1441	5.87114
20	100	1446	6.02856
20	100	1451	5.90039
20	100	1456	6.11034
20	100	1461	6.10877
20	100	1466	6.06395
20	100	1471	6.0627
20	100	1476	5.99921
20	100	1481	6.23384
20	100	1486	6.22941
20	100	1491	6.18521
20	100	1496	6.22242
20	100	1501	6.19057
20	100	1506	6.31053
20	100	1511	6.20245
20	100	1516	6.32084
20	100	1521	6.16293
20	100	1526	6.29601
20	100	1531	6.44702
20	100	1536	6.15921
20	100	1541	6.42077
20	100	1546	6.5652
20	100	1551	6.38675
20	100	1556	6.40789
20	100	1561	6.49605
20	100	1566	6.54017
20	100	1571	6.43946
20	100	1576	6.52925
20	100	1581	6.42447
20	100	1586	6.50101
20	100	1591	6.47466
20	100	1596	6.6949
20	100	1601	6.57326
20	100	1606	6.67289
20	100	1611	6.70275
20	100	1616	6.74226
20	100	1621	6.75696
20	100	1626	6.60844
20	100	1631	6.78447
20	100	1636	6.84151
20	100	1641	6.94053
20	100	1646	6.67552
20	100	1651	6.73003
20	100	1656	6.81854
20	100	1661	6.82189
20	100	1666	6.9164
20	100	1671	6.82526
20	100	1676	6.88502
20	100	1681	6.98304
20	100	1686	6.84608
20	100	1691	7.13168
20	100	1696	7.1704
20	100	1701	6.99657
20	100	1706	6.97874
20	100	1711	6.90167
20	100	1716	6.94398
20	100	1721	7.06459
20	100	1726	7.2457
20	100	1731	7.11639
20	100	1736	7.09967
20	100	1741	7.21287
20	100	1746	7.25946
20	100	1751	7.17992
20	100	1756	7.36452
20	100	1761	7.46088
20	100	1766	7.34015
20	100	1771	7.38188
20	100	1776	7.21267
20	100	1781	7.23993
20	100	1786	7.29457
20	100	1791	7.48934
20	100	1796	7.58617
20	100	1801	7.41402
20	100	1806	7.53367
20	100	1811	7.54467
20	100	1816	7.38671
20	100	1821	7.53836
20	100	1826	7.55368
20	100	1831	7.413
20	100	1836	7.50245
20	100	1841	7.73591
20	100	1846	7.69851
20	100	1851	7.52225
20	100	1856	7.55934
20	100	1861	7.69874
20	100	1866	7.48806
20	100	1871	7.72128
20	100	1876	7.72359
20	100	1881	7.51875
20	100	1886	7.51508
20	100	1891	7.79673
20	100	1896	7.87586
20	100	1901	7.56492
20	100	1906	7.84275
20	100	1911	7.65364
20	100	1916	7.92689
20	100	1921	7.88881
20	100	1926	7.86808
20	100	1931	7.93088
20	100	1936	7.91999
20	100	1941	8.13659
20	100	1946	8.03798
20	100	1951	7.99166
20	100	1956	7.92731
20	100	1961	8.08806
20	100	1966	8.25218
20	100	1971	8.2458
20	100	1976	8.15008
20	100	1981	8.04687
20	100	1986	8.01808
20	100	1991	8.04985
20	100	1996	8.25165
20	100	2001	8.02936
20	100	2006	8.11326
20	100	2011	8.30161
20	100	2016	8.22556
20	100	2021	8.35657
20	100	2026	8.35261
20	100	2031	8.02007
20	100	2036	8.31689
20	100	2041	8.54272
20	100	2046	8.29847
20	100	2051	9.03525
20	100	2056	8.88262
20	100	2061	9.02275
20	100	2066	9.02509
20	100	2071	8.91699
20	100	2076	9.14463
20	100	2081	9.1854
20	100	2086	9.0384
20	100	2091	9.20075
20	100	2096	9.07248
20	100	2101	9.36251
20	100	2106	9.23997
20	100	2111	9.1785
20	100	2116	9.30699
20	100	2121	9.33236
20	100	2126	9.2622
20	100	2131	9.39892
20	100	2136	9.40139
20	100	2141	9.4272
20	100	2146	9.18894
20	100	2151	9.49826
20	100	2156	9.54604
20	100	2161	9.43311
20	100	2166	9.51517
20	100	2171	9.32533
20	100	2176	9.3115
20	100	2181	9.40371
20	100	2186	9.57097
20	100	2191	9.52429
20	100	2196	9.50253
20	100	2201	9.33761
20	100	2206	9.42414
20	100	2211	9.6278
20	100	2216	9.58736
20	100	2221	9.68078
20	100	2226	9.9161
20	100	2231	9.72955
20	100	2236	9.45248
20	100	2241	9.88406
20	100	2246	9.61621
20	100	2251	9.71596
20	100	2256	9.93901
20	100	2261	9.55573
20	100	2266	9.56895
20	100	2271	9.76418
20	100	2276	10.0403
20	100	2281	9.95811
20	100	2286	9.53858
20	100	2291	9.93801
20	100	2296	10.1132
20	100	2301	10.3337
20	100	2306	9.68381
20	100	2311	10.1538
20	100	2316	9.96194
20	100	2321	9.82023
20	100	2326	10.1139
20	100	2331	10.1625
20	100	2336	10.0547
20	100	2341	10.2832
20	100	2346	10.6252
